DANE_COD,AREA_ACADEMICA,GRADO,LOGRO_POSITIVO,LOGRO_NEGATIVO
219212000339,BIENESTAR Y CULTURA,4,"Practica   los  movimientos mostrando  flexibilidad   con  cuerpo, con  los diferentes elementos en las diferentes actividades gimnasticas.","Se  le dificulta  realizar las  actividades de movimientos mostrando  flexibilidad   con el  cuerpo, con  los diferentes elementos en las actividades gimnasticas."
219212000339,BIENESTAR Y CULTURA,5,"Realiza  ejercicios de carreras, saltos  y lanzamientos mostrando   capacidad  en  las actividades   atléticas.","No Practica con agrado los  ejercicios de carreras, saltos  y lanzamientos mostrando  falencias   en  las actividades   atléticas."
219212000339,BIENESTAR Y CULTURA,6,Participa  con agrado en  las diferentes actividades  de fortalecer las capacidades condicionales  y coordinativas.,Muestra desinterés en participar  con agrado  en  las diferentes actividades  de fortalecer las capacidades condicionales  y coordinativas
219212000339,BIENESTAR Y CULTURA,7,"Ejecuta adecuadamente  el  dribling, pases y  lanzamientos en el desarrollo  del  juego  del baloncesto.","No Ejecuta adecuadamente  el  dribling, pases y  lanzamientos en el desarrollo  del  juego  del baloncesto."
219212000339,BIENESTAR Y CULTURA,8,Muestra coordinación  agilidad y  flexibilidad  en  el  aprendizaje de los fundamentos técnicos  básico s del voleibol.,No muestra coordinación  agilidad y  flexibilidad  en  el  aprendizaje de los fundamentos técnicos  básico s del voleibol.
219212000339,BIENESTAR Y CULTURA,9,Conoce sobre las reglas de juego  del  futbol y ejecuta  adecuadamente los  pases la conducción del  balón y el  juego  de conjunto.,Muestra desinterés por Conocer sobre las reglas de juego  del  futbol y no ejecuta  adecuadamente los  pases y la conducción del  balón y el  juego  de conjunto.
219212000339,BIENESTAR Y CULTURA,10,Organiza eventos deportivos como el  juego por la convivencia  y  el festival de tenis de mesa  para el aprovechamiento del tiempo libre,Muestra desinterés  en la organización eventos deportivos como el  juego por la convivencia  y  el festival de tenis de mesa  para el aprovechamiento del tiempo libre
219212000339,BIENESTAR Y CULTURA,11,"Valora, conoce y toma conciencia de su condición física, participando de las actividades orientadas a los test de condición física. ","Es apático al valor y  conocimiento  y la toma conciencia de su condición física, no involucrándose a la participando de las actividades orientadas a los test de condición física. "
219212000339,HUMANIDAD Y ESPIRITUALIDAD,3,Reconoce que es un ser único y autentico aceptándose como es y como son los demás,"Demuestra que no se acepta, duda de sus capacidades y le cuesta relacionarse con los demás. "
219212000339,HUMANIDAD Y ESPIRITUALIDAD,4,Valora su historia personal como un proceso que se construye día a día  donde  él es el actor principal,Es indiferente en la construcción de su historia personal y no le da la importancia como un proceso que se construye día 
219212000339,HUMANIDAD Y ESPIRITUALIDAD,5,Expresa sus emociones y sentimientos de manera espontánea  que le permiten sensibilizar su ser.,Se le dificulta expresar sus emociones y sentimientos de manera espontánea que le permiten sensibilizar su ser.
219212000339,HUMANIDAD Y ESPIRITUALIDAD,6,"Identifica sus aspectos físicos, emocionales, intelectuales y filosóficos por medio de la observación de sí mismo, para encontrase como ser.","Presenta dificultad en identificar
Sus aspectos físicos, emocionales, intelectuales y filosóficos por medio de la observación de sí mismo, para encontrase como ser."
219212000339,HUMANIDAD Y ESPIRITUALIDAD,7,"Conoce y es consciente de las
Consecuencias de sus comportamientos  y emociones que definen su personalidad.",Le falta sensatez  con sus comportamientos y emociones que desarmonizan su entorno.
219212000339,HUMANIDAD Y ESPIRITUALIDAD,8,Analiza  sus  fortalezas que le permiten forjar su  autoestima  en una  relación armónica con los demás.,Manifiesta baja autoestima  y desconoce sus fortalezas  que le impiden relacionarse con los demás. 
219212000339,HUMANIDAD Y ESPIRITUALIDAD,9,Demuestro con mi forma de ser lo que proyecto a partir de mi comportamiento,Muestra  dificultades en su comportamiento que le impiden proyectar su forma de ser.
219212000339,HUMANIDAD Y ESPIRITUALIDAD,10,Identifica como la filosofía y sus métodos  permiten desarrollar en el hombre los diferentes conceptos que lo acercan a su realidad personal social y transcendental.,Se le dificulta vivenciar en la práctica los conocimientos filosóficos y desconoce la realidad de su contexto.
219212000339,HUMANIDAD Y ESPIRITUALIDAD,11,Reconoce  posturas críticas sobre el sentido de la vida humana y lo aplica para su propia existencia.,Tiene dificultad para indagar y reflexionar  sobre contextos filosóficos. 
